"Region Code","Timestamp (Hour Ending)","Total CAL Demand (MWh)"
CAL,"12/9/2019 1 p.m. PST",29043
CAL,"12/9/2019 2 p.m. PST",29031
CAL,"12/9/2019 3 p.m. PST",29360
CAL,"12/9/2019 4 p.m. PST",30368
CAL,"12/9/2019 5 p.m. PST",32418
CAL,"12/9/2019 6 p.m. PST",35390
CAL,"12/9/2019 7 p.m. PST",35563
CAL,"12/9/2019 8 p.m. PST",35049
CAL,"12/9/2019 9 p.m. PST",34213
CAL,"12/9/2019 10 p.m. PST",32688
CAL,"12/9/2019 11 p.m. PST",30219
CAL,"12/10/2019 12 a.m. PST",27845
CAL,"12/10/2019 1 a.m. PST",26545
CAL,"12/10/2019 2 a.m. PST",25919
CAL,"12/10/2019 3 a.m. PST",25349
CAL,"12/10/2019 4 a.m. PST",25220
CAL,"12/10/2019 5 a.m. PST",25963
CAL,"12/10/2019 6 a.m. PST",27870
CAL,"12/10/2019 7 a.m. PST",30800
CAL,"12/10/2019 8 a.m. PST",32186
CAL,"12/10/2019 9 a.m. PST",31681
CAL,"12/10/2019 10 a.m. PST",31315
CAL,"12/10/2019 11 a.m. PST",30591
CAL,"12/10/2019 12 p.m. PST",29869
CAL,"12/10/2019 1 p.m. PST",29569
CAL,"12/10/2019 2 p.m. PST",29825
CAL,"12/10/2019 3 p.m. PST",30359
CAL,"12/10/2019 4 p.m. PST",31301
CAL,"12/10/2019 5 p.m. PST",33097
CAL,"12/10/2019 6 p.m. PST",35721
CAL,"12/10/2019 7 p.m. PST",35791
CAL,"12/10/2019 8 p.m. PST",35303
CAL,"12/10/2019 9 p.m. PST",34516
CAL,"12/10/2019 10 p.m. PST",32975
CAL,"12/10/2019 11 p.m. PST",30589
CAL,"12/11/2019 12 a.m. PST",28175
CAL,"12/11/2019 1 a.m. PST",26710
CAL,"12/11/2019 2 a.m. PST",25776
CAL,"12/11/2019 3 a.m. PST",25409
CAL,"12/11/2019 4 a.m. PST",25191
CAL,"12/11/2019 5 a.m. PST",25936
CAL,"12/11/2019 6 a.m. PST",27858
CAL,"12/11/2019 7 a.m. PST",30851
CAL,"12/11/2019 8 a.m. PST",32256
CAL,"12/11/2019 9 a.m. PST",31793
CAL,"12/11/2019 10 a.m. PST",31214
CAL,"12/11/2019 11 a.m. PST",30882
CAL,"12/11/2019 12 p.m. PST",30864
CAL,"12/11/2019 1 p.m. PST",31026
CAL,"12/11/2019 2 p.m. PST",30948
CAL,"12/11/2019 3 p.m. PST",31562
CAL,"12/11/2019 4 p.m. PST",31521
CAL,"12/11/2019 5 p.m. PST",33320
CAL,"12/11/2019 6 p.m. PST",32203
CAL,"12/11/2019 7 p.m. PST",35830
CAL,"12/11/2019 8 p.m. PST",35340
CAL,"12/11/2019 9 p.m. PST",34428
CAL,"12/11/2019 10 p.m. PST",32846
CAL,"12/11/2019 11 p.m. PST",30425
CAL,"12/12/2019 12 a.m. PST",28050
CAL,"12/12/2019 1 a.m. PST",26710
CAL,"12/12/2019 2 a.m. PST",25634
CAL,"12/12/2019 3 a.m. PST",24949
CAL,"12/12/2019 4 a.m. PST",24874
CAL,"12/12/2019 5 a.m. PST",25559
CAL,"12/12/2019 6 a.m. PST",27409
CAL,"12/12/2019 7 a.m. PST",30492
CAL,"12/12/2019 8 a.m. PST",31930
CAL,"12/12/2019 9 a.m. PST",31409
CAL,"12/12/2019 10 a.m. PST",30713
CAL,"12/12/2019 11 a.m. PST",29664
CAL,"12/12/2019 12 p.m. PST",29098
CAL,"12/12/2019 1 p.m. PST",28961
CAL,"12/12/2019 2 p.m. PST",29504
CAL,"12/12/2019 3 p.m. PST",30058
CAL,"12/12/2019 4 p.m. PST",31092
CAL,"12/12/2019 5 p.m. PST",32848
CAL,"12/12/2019 6 p.m. PST",35300
CAL,"12/12/2019 7 p.m. PST",35055
CAL,"12/12/2019 8 p.m. PST",34446
CAL,"12/12/2019 9 p.m. PST",33701
CAL,"12/12/2019 10 p.m. PST",32213
CAL,"12/12/2019 11 p.m. PST",29870
CAL,"12/13/2019 12 a.m. PST",27598
CAL,"12/13/2019 1 a.m. PST",26219
CAL,"12/13/2019 2 a.m. PST",25188
CAL,"12/13/2019 3 a.m. PST",24507
CAL,"12/13/2019 4 a.m. PST",24376
CAL,"12/13/2019 5 a.m. PST",24974
CAL,"12/13/2019 6 a.m. PST",26704
CAL,"12/13/2019 7 a.m. PST",29701
CAL,"12/13/2019 8 a.m. PST",30954
CAL,"12/13/2019 9 a.m. PST",30485
CAL,"12/13/2019 10 a.m. PST",30263
CAL,"12/13/2019 11 a.m. PST",30142
CAL,"12/13/2019 12 p.m. PST",29958
CAL,"12/13/2019 1 p.m. PST",30075
CAL,"12/13/2019 2 p.m. PST",30125
CAL,"12/13/2019 3 p.m. PST",30479
CAL,"12/13/2019 4 p.m. PST",31105
CAL,"12/13/2019 5 p.m. PST",32824
CAL,"12/13/2019 6 p.m. PST",35100
CAL,"12/13/2019 7 p.m. PST",34661
CAL,"12/13/2019 8 p.m. PST",33890
CAL,"12/13/2019 9 p.m. PST",33056
CAL,"12/13/2019 10 p.m. PST",31743
CAL,"12/13/2019 11 p.m. PST",29792
CAL,"12/14/2019 12 a.m. PST",27746
CAL,"12/14/2019 1 a.m. PST",26215
CAL,"12/14/2019 2 a.m. PST",25089
CAL,"12/14/2019 3 a.m. PST",24290
CAL,"12/14/2019 4 a.m. PST",24258
CAL,"12/14/2019 5 a.m. PST",24433
CAL,"12/14/2019 6 a.m. PST",25185
CAL,"12/14/2019 7 a.m. PST",26411
CAL,"12/14/2019 8 a.m. PST",27265
CAL,"12/14/2019 9 a.m. PST",27839
CAL,"12/14/2019 10 a.m. PST",27870
CAL,"12/14/2019 11 a.m. PST",27657
CAL,"12/14/2019 12 p.m. PST",27125
CAL,"12/14/2019 1 p.m. PST",26761
CAL,"12/14/2019 2 p.m. PST",26672
CAL,"12/14/2019 3 p.m. PST",27462
CAL,"12/14/2019 4 p.m. PST",28156
CAL,"12/14/2019 5 p.m. PST",29903
CAL,"12/14/2019 6 p.m. PST",32633
CAL,"12/14/2019 7 p.m. PST",32549
CAL,"12/14/2019 8 p.m. PST",32029
CAL,"12/14/2019 9 p.m. PST",31426
CAL,"12/14/2019 10 p.m. PST",30521
CAL,"12/14/2019 11 p.m. PST",28950
CAL,"12/15/2019 12 a.m. PST",27178
CAL,"12/15/2019 1 a.m. PST",25944
CAL,"12/15/2019 2 a.m. PST",24981
CAL,"12/15/2019 3 a.m. PST",24548
CAL,"12/15/2019 4 a.m. PST",24354
CAL,"12/15/2019 5 a.m. PST",24471
CAL,"12/15/2019 6 a.m. PST",25009
CAL,"12/15/2019 7 a.m. PST",25965
CAL,"12/15/2019 8 a.m. PST",26422
CAL,"12/15/2019 9 a.m. PST",25846
CAL,"12/15/2019 10 a.m. PST",25430
CAL,"12/15/2019 11 a.m. PST",25162
CAL,"12/15/2019 12 p.m. PST",24930
CAL,"12/15/2019 1 p.m. PST",24772
CAL,"12/15/2019 2 p.m. PST",25024
CAL,"12/15/2019 3 p.m. PST",25457
CAL,"12/15/2019 4 p.m. PST",26568
CAL,"12/15/2019 5 p.m. PST",29439
CAL,"12/15/2019 6 p.m. PST",33151
CAL,"12/15/2019 7 p.m. PST",33788
CAL,"12/15/2019 8 p.m. PST",33704
CAL,"12/15/2019 9 p.m. PST",33228
CAL,"12/15/2019 10 p.m. PST",32039
CAL,"12/15/2019 11 p.m. PST",29862
CAL,"12/16/2019 12 a.m. PST",27744
CAL,"12/16/2019 1 a.m. PST",26474
CAL,"12/16/2019 2 a.m. PST",25660
CAL,"12/16/2019 3 a.m. PST",25220
CAL,"12/16/2019 4 a.m. PST",25295
CAL,"12/16/2019 5 a.m. PST",26189
CAL,"12/16/2019 6 a.m. PST",28454
CAL,"12/16/2019 7 a.m. PST",31858
CAL,"12/16/2019 8 a.m. PST",33407
CAL,"12/16/2019 9 a.m. PST",32248
CAL,"12/16/2019 10 a.m. PST",30886
CAL,"12/16/2019 11 a.m. PST",29728
CAL,"12/16/2019 12 p.m. PST",28717
CAL,"12/16/2019 1 p.m. PST",28419
CAL,"12/16/2019 2 p.m. PST",28475
CAL,"12/16/2019 3 p.m. PST",28957
CAL,"12/16/2019 4 p.m. PST",30443
CAL,"12/16/2019 5 p.m. PST",33153
CAL,"12/16/2019 6 p.m. PST",36580
CAL,"12/16/2019 7 p.m. PST",37027
CAL,"12/16/2019 8 p.m. PST",36661
CAL,"12/16/2019 9 p.m. PST",35917
CAL,"12/16/2019 10 p.m. PST",34400
CAL,"12/16/2019 11 p.m. PST",31899
CAL,"12/17/2019 12 a.m. PST",29464
CAL,"12/17/2019 1 a.m. PST",27903
CAL,"12/17/2019 2 a.m. PST",26881
CAL,"12/17/2019 3 a.m. PST",26241
CAL,"12/17/2019 4 a.m. PST",26170
CAL,"12/17/2019 5 a.m. PST",26993
CAL,"12/17/2019 6 a.m. PST",29112
CAL,"12/17/2019 7 a.m. PST",32407
CAL,"12/17/2019 8 a.m. PST",33833
CAL,"12/17/2019 9 a.m. PST",33162
CAL,"12/17/2019 10 a.m. PST",32296
CAL,"12/17/2019 11 a.m. PST",31228
CAL,"12/17/2019 12 p.m. PST",30213
CAL,"12/17/2019 1 p.m. PST",29865
CAL,"12/17/2019 2 p.m. PST",30124
CAL,"12/17/2019 3 p.m. PST",30520
CAL,"12/17/2019 4 p.m. PST",31555
CAL,"12/17/2019 5 p.m. PST",33604
CAL,"12/17/2019 6 p.m. PST",36523
CAL,"12/17/2019 7 p.m. PST",36954
CAL,"12/17/2019 8 p.m. PST",36658
CAL,"12/17/2019 9 p.m. PST",35920
CAL,"12/17/2019 10 p.m. PST",34434
CAL,"12/17/2019 11 p.m. PST",31831
CAL,"12/18/2019 12 a.m. PST",29405
CAL,"12/18/2019 1 a.m. PST",27758
CAL,"12/18/2019 2 a.m. PST",26683
CAL,"12/18/2019 3 a.m. PST",26119
CAL,"12/18/2019 4 a.m. PST",26074
CAL,"12/18/2019 5 a.m. PST",26893
CAL,"12/18/2019 6 a.m. PST",28967
CAL,"12/18/2019 7 a.m. PST",32202
CAL,"12/18/2019 8 a.m. PST",33731
CAL,"12/18/2019 9 a.m. PST",33712
CAL,"12/18/2019 10 a.m. PST",33389
CAL,"12/18/2019 11 a.m. PST",32804
CAL,"12/18/2019 12 p.m. PST",31763
CAL,"12/18/2019 1 p.m. PST",31054
CAL,"12/18/2019 2 p.m. PST",30867
CAL,"12/18/2019 3 p.m. PST",31229
CAL,"12/18/2019 4 p.m. PST",31897
CAL,"12/18/2019 5 p.m. PST",33872
CAL,"12/18/2019 6 p.m. PST",36685
CAL,"12/18/2019 7 p.m. PST",36979
CAL,"12/18/2019 8 p.m. PST",36525
CAL,"12/18/2019 9 p.m. PST",35791
CAL,"12/18/2019 10 p.m. PST",34429
CAL,"12/18/2019 11 p.m. PST",31998
CAL,"12/19/2019 12 a.m. PST",29554
CAL,"12/19/2019 1 a.m. PST",28350
CAL,"12/19/2019 2 a.m. PST",27331
CAL,"12/19/2019 3 a.m. PST",26759
CAL,"12/19/2019 4 a.m. PST",26654
CAL,"12/19/2019 5 a.m. PST",27351
CAL,"12/19/2019 6 a.m. PST",29084
CAL,"12/19/2019 7 a.m. PST",32247
CAL,"12/19/2019 8 a.m. PST",33744
CAL,"12/19/2019 9 a.m. PST",32743
CAL,"12/19/2019 10 a.m. PST",31482
CAL,"12/19/2019 11 a.m. PST",30543
CAL,"12/19/2019 12 p.m. PST",29527
CAL,"12/19/2019 1 p.m. PST",28857
CAL,"12/19/2019 2 p.m. PST",28935
CAL,"12/19/2019 3 p.m. PST",29432
CAL,"12/19/2019 4 p.m. PST",5719
CAL,"12/19/2019 5 p.m. PST",6103
CAL,"12/19/2019 6 p.m. PST",6597
CAL,"12/19/2019 7 p.m. PST",36126
CAL,"12/19/2019 8 p.m. PST",35784
CAL,"12/19/2019 9 p.m. PST",35091
CAL,"12/19/2019 10 p.m. PST",33763
CAL,"12/19/2019 11 p.m. PST",31678
CAL,"12/20/2019 12 a.m. PST",29305
CAL,"12/20/2019 1 a.m. PST",27769
CAL,"12/20/2019 2 a.m. PST",26690
CAL,"12/20/2019 3 a.m. PST",26082
CAL,"12/20/2019 4 a.m. PST",25956
CAL,"12/20/2019 5 a.m. PST",26692
CAL,"12/20/2019 6 a.m. PST",28649
CAL,"12/20/2019 7 a.m. PST",31660
CAL,"12/20/2019 8 a.m. PST",32959
CAL,"12/20/2019 9 a.m. PST",31978
CAL,"12/20/2019 10 a.m. PST",30930
CAL,"12/20/2019 11 a.m. PST",29924
CAL,"12/20/2019 12 p.m. PST",29024
CAL,"12/20/2019 1 p.m. PST",28844
CAL,"12/20/2019 2 p.m. PST",29110
CAL,"12/20/2019 3 p.m. PST",29479
CAL,"12/20/2019 4 p.m. PST",30566
CAL,"12/20/2019 5 p.m. PST",32696
CAL,"12/20/2019 6 p.m. PST",35172
CAL,"12/20/2019 7 p.m. PST",35048
CAL,"12/20/2019 8 p.m. PST",34358
CAL,"12/20/2019 9 p.m. PST",33665
CAL,"12/20/2019 10 p.m. PST",33089
CAL,"12/20/2019 11 p.m. PST",30772
CAL,"12/21/2019 12 a.m. PST",28699
CAL,"12/21/2019 1 a.m. PST",27196
CAL,"12/21/2019 2 a.m. PST",26057
CAL,"12/21/2019 3 a.m. PST",25364
CAL,"12/21/2019 4 a.m. PST",31599
CAL,"12/21/2019 5 a.m. PST",25144
CAL,"12/21/2019 6 a.m. PST",25929
CAL,"12/21/2019 7 a.m. PST",27355
CAL,"12/21/2019 8 a.m. PST",32189
CAL,"12/21/2019 9 a.m. PST",32405
CAL,"12/21/2019 10 a.m. PST",29039
CAL,"12/21/2019 11 a.m. PST",32490
CAL,"12/21/2019 12 p.m. PST",27898
CAL,"12/21/2019 1 p.m. PST",32370
CAL,"12/21/2019 2 p.m. PST",27363
CAL,"12/21/2019 3 p.m. PST",32278
CAL,"12/21/2019 4 p.m. PST",28792
CAL,"12/21/2019 5 p.m. PST",30668
CAL,"12/21/2019 6 p.m. PST",33339
CAL,"12/21/2019 7 p.m. PST",33370
CAL,"12/21/2019 8 p.m. PST",33037
CAL,"12/21/2019 9 p.m. PST",32297
CAL,"12/21/2019 10 p.m. PST",31341
CAL,"12/21/2019 11 p.m. PST",32475
CAL,"12/22/2019 12 a.m. PST",32132
CAL,"12/22/2019 1 a.m. PST",26438
CAL,"12/22/2019 2 a.m. PST",25346
CAL,"12/22/2019 3 a.m. PST",24640
CAL,"12/22/2019 4 a.m. PST",31433
CAL,"12/22/2019 5 a.m. PST",24250
CAL,"12/22/2019 6 a.m. PST",31596
CAL,"12/22/2019 7 a.m. PST",25928
CAL,"12/22/2019 8 a.m. PST",31952
CAL,"12/22/2019 9 a.m. PST",27704
CAL,"12/22/2019 10 a.m. PST",27866
CAL,"12/22/2019 11 a.m. PST",27961
CAL,"12/22/2019 12 p.m. PST",27770
CAL,"12/22/2019 1 p.m. PST",27503
CAL,"12/22/2019 2 p.m. PST",27711
CAL,"12/22/2019 3 p.m. PST",28174
CAL,"12/22/2019 4 p.m. PST",28781
CAL,"12/22/2019 5 p.m. PST",30601
CAL,"12/22/2019 6 p.m. PST",33197
CAL,"12/22/2019 7 p.m. PST",33296
CAL,"12/22/2019 8 p.m. PST",32929
CAL,"12/22/2019 9 p.m. PST",32357
CAL,"12/22/2019 10 p.m. PST",31344
CAL,"12/22/2019 11 p.m. PST",29469
CAL,"12/23/2019 12 a.m. PST",27440
CAL,"12/23/2019 1 a.m. PST",26105
CAL,"12/23/2019 2 a.m. PST",25116
CAL,"12/23/2019 3 a.m. PST",24637
CAL,"12/23/2019 4 a.m. PST",24745
CAL,"12/23/2019 5 a.m. PST",25459
CAL,"12/23/2019 6 a.m. PST",27044
CAL,"12/23/2019 7 a.m. PST",29159
CAL,"12/23/2019 8 a.m. PST",31085
CAL,"12/23/2019 9 a.m. PST",32370
CAL,"12/23/2019 10 a.m. PST",32862
CAL,"12/23/2019 11 a.m. PST",32655
CAL,"12/23/2019 12 p.m. PST",32197
CAL,"12/23/2019 1 p.m. PST",31740
CAL,"12/23/2019 2 p.m. PST",31350
CAL,"12/23/2019 3 p.m. PST",31341
CAL,"12/23/2019 4 p.m. PST",31666
CAL,"12/23/2019 5 p.m. PST",33089
CAL,"12/23/2019 6 p.m. PST",35556
CAL,"12/23/2019 7 p.m. PST",35634
CAL,"12/23/2019 8 p.m. PST",35119
CAL,"12/23/2019 9 p.m. PST",34421
CAL,"12/23/2019 10 p.m. PST",33252
CAL,"12/23/2019 11 p.m. PST",31308
CAL,"12/24/2019 12 a.m. PST",29095
CAL,"12/24/2019 1 a.m. PST",27278
